index,atc_code,level,weight
0,A01,2,1.0
1,A02,2,1.0
2,A03,2,1.0
3,A04,2,1.0
4,A05,2,1.0
5,A06,2,1.0
6,A07,2,1.0
7,A08,2,1.0
8,A09,2,1.0
9,A10,2,1.0
10,A11,2,1.0
11,A12,2,1.0
12,A13,2,1.0
13,A14,2,1.0
14,A15,2,1.0
15,A16,2,1.0
16,B01,2,1.0
17,B02,2,1.0
18,B03,2,1.0
19,B05,2,1.0
20,B06,2,1.0
21,C01,2,1.0
22,C02,2,1.0
23,C03,2,1.0
24,C04,2,1.0
25,C05,2,1.0
26,C07,2,1.0
27,C08,2,1.0
28,C09,2,1.0
29,C10,2,1.0
30,D01,2,1.0
31,D02,2,1.0
32,D03,2,1.0
33,D04,2,1.0
34,D05,2,1.0
35,D06,2,1.0
36,D07,2,1.0
37,D08,2,1.0
38,D09,2,1.0
39,D10,2,1.0
40,D11,2,1.0
41,G01,2,1.0
42,G02,2,1.0
43,G03,2,1.0
44,G04,2,1.0
45,H01,2,1.0
46,H02,2,1.0
47,H03,2,1.0
48,H04,2,1.0
49,H05,2,1.0
50,J01,2,1.0
51,J02,2,1.0
52,J04,2,1.0
53,J05,2,1.0
54,J06,2,1.0
55,J07,2,1.0
56,L01,2,1.0
57,L02,2,1.0
58,L03,2,1.0
59,L04,2,1.0
60,M01,2,1.0
61,M02,2,1.0
62,M03,2,1.0
63,M04,2,1.0
64,M05,2,1.0
65,M09,2,1.0
66,N01,2,1.0
67,N02,2,1.0
68,N03,2,1.0
69,N04,2,1.0
70,N05,2,1.0
71,N06,2,1.0
72,N07,2,1.0
73,P01,2,1.0
74,P02,2,1.0
75,P03,2,1.0
76,R01,2,1.0
77,R02,2,1.0
78,R03,2,1.0
79,R05,2,1.0
80,R06,2,1.0
81,R07,2,1.0
82,S01,2,1.0
83,S02,2,1.0
84,S03,2,1.0
85,V01,2,1.0
86,V03,2,1.0
87,V04,2,1.0
88,V06,2,1.0
89,V07,2,1.0
90,V08,2,1.0
91,V09,2,1.0
92,V10,2,1.0
93,V20,2,1.0
94,A01A,3,2.0
95,A02A,3,2.0
96,A02B,3,2.0
97,A02X,3,2.0
98,A03A,3,2.0
99,A03B,3,2.0
100,A03C,3,2.0
101,A03D,3,2.0
102,A03E,3,2.0
103,A03F,3,2.0
104,A04A,3,2.0
105,A05A,3,2.0
106,A05B,3,2.0
107,A05C,3,2.0
108,A06A,3,2.0
109,A07A,3,2.0
110,A07B,3,2.0
111,A07C,3,2.0
112,A07D,3,2.0
113,A07E,3,2.0
114,A07F,3,2.0
115,A07X,3,2.0
116,A08A,3,2.0
117,A09A,3,2.0
118,A10A,3,2.0
119,A10B,3,2.0
120,A10X,3,2.0
121,A11A,3,2.0
122,A11B,3,2.0
123,A11C,3,2.0
124,A11D,3,2.0
125,A11E,3,2.0
126,A11G,3,2.0
127,A11H,3,2.0
128,A11J,3,2.0
129,A12A,3,2.0
130,A12B,3,2.0
131,A12C,3,2.0
132,A13A,3,2.0
133,A14A,3,2.0
134,A14B,3,2.0
135,A16A,3,2.0
136,B01A,3,2.0
137,B02A,3,2.0
138,B02B,3,2.0
139,B03A,3,2.0
140,B03B,3,2.0
141,B03X,3,2.0
142,B05A,3,2.0
143,B05B,3,2.0
